etat,nameclient,porteur,zoneclient,nature,leadrating,coord,titgrp,datedet,budget,botech
BC,-9,130392,101185,villa,1,130392,130418,2020-08-27,\N,\N
Perdus,-9,93108,89678,hotel,1,142540,134666,2020-12-18,57632,93108
BC,-9,93623,89694,habitation,1,130412,133120,2020-10-03,50000,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-09-05,\N,\N
Perdus,-9,147744,89694,villa,1,147744,130419,2020-09-05,4000,\N
BC,126914,122055,89674,habitation,1,122055,115741,2021-01-04,44620,28614
BC,-9,93480,189410,villa,1,93480,134668,2021-01-28,16810,162366
Perdus,91130,122055,89672,habitation,1,122055,115742,2020-02-24,57458,\N
Perdus,93575,28576,89688,villa,1,28575,115743,2020-03-03,29841,\N
Perdus,93575,28576,89688,villa,1,136898,115743,2020-03-03,29841,\N
Perdus,133422,28579,89694,villa,1,122018,115744,2020-01-14,123799,\N
BC,-9,150300,89694,MACHINERIE,1,150300,150305,2020-12-03,56074,\N
Perdus,122963,93623,89672,habitation,1,93623,115742,2019-12-09,\N,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-03-14,\N,\N
BC,154061,134566,89694,habitation,1,176256,134567,2020-09-02,2101,\N
Perdus,148172,130410,89688,villa,5,130410,133119,2020-08-06,1520,\N
Perdus,149143,93623,89691,villa,1,122027,115744,2020-08-11,50064,\N
Perdus,149143,93623,89691,villa,1,142832,115744,2020-08-11,50064,\N
Perdus,-9,130392,89694,villa,1,130392,130418,2020-03-10,\N,\N
BC,178614,93623,89694,villa,1,93623,115743,2020-06-17,21964,28575
Perdus,-9,130411,89694,villa,1,130411,130418,2020-09-15,2435,130411
Perdus,-9,28571,89687,villa,1,28575,115743,2020-01-25,14409,\N
Perdus,-9,28571,89687,villa,1,136898,115743,2020-01-25,14409,\N
Perdus,137741,130410,89674,villa,5,130410,133119,2020-03-13,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-08-25,\N,\N
BC,167975,130590,89694,villa,1,-9,130419,2020-10-10,2072,\N
BC,-9,130392,101185,villa,1,130392,133119,2021-02-02,3455,\N
Perdus,127843,130412,89691,habitation,1,130412,133120,2020-02-10,250,\N
Perdus,-9,130409,89694,villa,1,-9,115743,2020-12-08,6184,28569
BC,159385,130410,89694,villa,5,130410,130418,2020-09-11,1686,\N
BC,180540,130410,89674,villa,5,-9,136907,2020-12-03,1256,\N
BC,-9,130392,101185,villa,1,130392,136907,2021-02-04,1710,\N
Perdus,-9,28565,89691,hotel,1,28565,134667,2020-03-04,8574,28569
BC,139869,130410,89694,villa,5,130410,130418,2020-05-13,4645,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-09-17,\N,\N
BC,136899,108904,89694,villa,1,108904,115744,2019-07-26,106988,\N
BC,170111,130590,89694,villa,1,130590,130419,2020-10-15,692,\N
BC,189665,28576,89688,villa,1,28576,115743,2021-01-22,24947,162366
BC,-9,130411,89694,villa,1,130411,130418,2020-11-23,1800,130411
Perdus,136556,130410,89694,villa,3,130410,130418,2020-02-22,\N,\N
BC,170128,130590,89694,villa,1,130590,130419,2020-10-15,2037,\N
BC,134728,108905,133968,usine,1,108905,115745,2019-09-04,24083,\N
BC,134728,108905,133968,usine,1,133385,115745,2019-09-04,24083,\N
BC,91424,28571,89687,habitation,1,130412,133080,2020-02-18,15270,\N
Perdus,-9,122027,89694,commercial,1,130412,136906,2019-12-02,20000,\N
BC,-9,130392,101185,villa,1,130392,136907,2020-08-19,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-10-02,2061,\N
Perdus,-9,122018,89694,usine,1,122018,115744,2019-05-21,16785,\N
Perdus,-9,122018,89694,usine,1,140993,115744,2019-05-21,16785,\N
Perdus,140648,28570,89691,habitation,1,28570,115741,2020-05-20,16129,28614
Perdus,136422,130410,89694,villa,5,130410,130418,2020-02-28,\N,\N
BC,135068,28575,89694,villa,1,28575,115743,2020-01-16,26453,\N
BC,135068,28575,89694,villa,1,136898,115743,2020-01-16,26453,\N
BC,-9,130590,101185,villa,1,130590,130419,2020-08-11,\N,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-08-21,1316,\N
Perdus,-9,122120,89687,habitation,1,28579,115741,2020-10-10,175614,28614
BC,141938,28609,89694,villa,1,136898,115743,2019-12-10,26232,\N
Perdus,153112,130590,89694,villa,1,130590,130419,2020-08-28,\N,\N
Perdus,89825,28576,89688,villa,1,28576,115743,2020-06-22,10971,162366
Perdus,90272,122018,89674,distribution,1,108904,115744,2020-05-18,\N,\N
BC,127786,122055,89694,habitation,1,130412,133080,2020-05-20,22000,130416
Perdus,137659,130590,89694,villa,1,122560,130419,2020-03-12,\N,\N
Perdus,147227,130410,89687,villa,5,130410,130418,2020-07-18,1000,\N
Perdus,141899,28579,89687,habitation,1,28576,115741,2020-03-06,65112,\N
Perdus,141899,28579,89687,habitation,1,28571,115741,2020-03-06,65112,\N
BC,136899,108904,89694,villa,1,28575,134666,2019-07-26,8550,\N
BC,136899,108904,89694,villa,1,142567,134666,2019-07-26,8550,\N
BC,139225,130392,89694,villa,5,130392,133119,2020-04-24,\N,\N
BC,170770,130590,89687,villa,1,130590,130419,2020-10-15,2680,\N
Perdus,-9,147744,89694,villa,1,147744,130418,2020-08-17,2277,\N
Perdus,-9,142567,89675,villa,1,142567,134666,2020-08-28,11738,28569
BC,161970,130590,89684,villa,1,-9,130419,2020-09-19,\N,130590
Perdus,-9,130411,89694,villa,1,130411,136907,2020-10-05,1550,130411
BC,142125,136898,89672,villa,1,93480,115744,2020-06-10,11828,\N
BC,142125,136898,89672,villa,1,136898,115744,2020-06-10,11828,\N
BC,147667,130410,89694,villa,1,130410,130418,2020-07-02,\N,\N
Perdus,133696,28575,89694,villa,1,122018,115744,2019-09-04,\N,\N
Perdus,133696,28575,89694,villa,1,108904,115744,2019-09-04,\N,\N
Perdus,-9,28571,89694,villa,1,142540,134667,2020-09-09,13084,28569
Perdus,-9,130407,89694,villa,1,130407,130419,2020-08-07,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2021-01-19,1661,\N
BC,90646,108905,89691,restaurant,1,108905,115745,2020-01-22,2032,\N
BC,90646,108905,89691,restaurant,1,133385,115745,2020-01-22,2032,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-05-06,\N,\N
Perdus,90806,122018,89694,villa,1,108904,115744,2019-05-09,7425,\N
BC,192092,130410,189410,villa,1,130410,136907,2021-02-10,340,\N
BC,154931,130410,89694,villa,1,130410,133119,2020-09-02,4328,\N
Perdus,91142,28614,89694,mixte,1,130412,133080,2019-09-26,\N,\N
Perdus,150102,28579,89674,mixte,1,130412,133080,2020-08-17,10000,\N
Perdus,139053,28609,89695,salle de sport,1,28577,115746,2019-11-08,\N,\N
BC,-9,130411,89694,villa,1,130411,130418,2020-09-15,\N,\N
Perdus,154034,130590,89687,villa,1,130590,130419,2020-09-02,\N,\N
Perdus,93575,28576,89688,villa,1,28576,134667,2020-03-03,40580,162366
BC,91259,28614,89694,habitation,1,130412,133080,2019-12-03,42000,\N
Perdus,143810,28577,133968,villa,1,108904,115744,2020-02-04,41123,\N
Perdus,143810,28577,133968,villa,1,28619,115744,2020-02-04,41123,\N
Perdus,143810,28577,133968,villa,1,122027,115744,2020-02-04,41123,\N
Perdus,136899,122018,89674,bureautique,1,122018,115744,2020-07-16,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-09-23,\N,\N
BC,91142,28614,89694,mixte,1,122055,115741,2019-09-26,119115,28614
BC,158524,130590,89694,villa,1,-9,130419,2020-09-11,\N,\N
BC,-9,130392,101185,villa,1,-9,130418,2020-10-24,2097,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-09-04,1000,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-05-12,\N,\N
Perdus,154389,130590,89694,villa,1,130590,130419,2020-09-03,\N,\N
BC,145538,122120,89694,habitation,1,130412,133081,2020-07-10,80000,\N
Perdus,-9,93623,89674,habitation,1,177167,133080,2020-10-28,9120,149167
BC,-9,130411,89694,villa,1,130411,136907,2020-11-16,1622,130411
Perdus,141231,28575,89672,villa,1,142540,115743,2020-06-01,18402,\N
Perdus,122629,28571,89674,bureautique,1,122027,115744,2020-07-22,\N,\N
Perdus,122629,28571,89674,bureautique,1,108904,115744,2020-07-22,\N,\N
Perdus,140808,130410,89694,villa,5,130410,130418,2020-05-27,\N,\N
Perdus,-9,122018,89677,usine,1,108904,115744,2019-05-16,69390,\N
Perdus,-9,122018,89677,usine,1,140993,115744,2019-05-16,69390,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-03-17,\N,\N
Perdus,-9,28609,89676,Prison,2,28577,115746,2019-01-22,47785,\N
Perdus,-9,28609,89676,Prison,2,28609,115746,2019-01-22,47785,\N
BC,178678,130590,89675,villa,1,-9,130419,2020-11-26,8000000,130590
BC,141307,93623,89672,villa,1,93623,134666,2019-11-23,3001,\N
Perdus,138755,108904,89691,siege administratif,3,108904,115744,2020-03-04,869818,\N
Perdus,138755,108904,89691,siege administratif,3,122018,115744,2020-03-04,869818,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-09-11,\N,\N
Perdus,-9,130392,101185,villa,1,130392,133119,2020-03-17,\N,\N
BC,147678,130410,89687,villa,1,130410,133119,2020-07-15,\N,\N
BC,-9,28576,89688,habitation,1,93480,134666,2020-07-24,105383,162366
Perdus,-9,122018,89691,villa,1,122018,115744,2021-01-06,0,153451
BC,-9,130411,89694,villa,1,130411,136907,2020-11-16,638,130411
Perdus,-9,28609,89695,ecole publique,1,28577,115746,2019-07-20,74654,\N
Perdus,-9,28609,89695,ecole publique,1,28609,115746,2019-07-20,74654,\N
Perdus,-9,130590,101185,villa,1,130590,130419,2020-09-02,5090,\N
BC,177427,130410,89694,villa,5,-9,130418,2020-11-18,1333,\N
Perdus,136835,130412,89694,habitation,1,130412,133080,2020-01-10,\N,\N
Perdus,-9,130411,89694,villa,1,130411,130418,2020-09-07,\N,\N
Perdus,-9,146447,89688,villa,1,146447,133119,2020-08-19,1094,\N
Perdus,151461,130410,89687,villa,5,130410,130418,2020-02-29,\N,\N
Perdus,-9,28614,101185,ecole privee,1,-9,115745,2019-12-07,\N,\N
BC,96745,28575,89694,villa,1,28575,134666,2018-01-01,1980,\N
BC,96745,28575,89694,villa,1,136898,134666,2018-01-01,1980,\N
Perdus,138030,130410,89694,villa,1,130410,130418,2020-03-07,\N,\N
BC,-9,130392,101185,villa,1,130392,136907,2020-09-04,9980,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-03-14,\N,\N
BC,139664,130410,89694,villa,5,130410,130418,2020-05-06,9771,\N
Perdus,-9,28576,89688,centre medical,1,108904,115744,2019-05-11,16877,\N
BC,153247,130410,89683,villa,5,130410,130418,2020-08-29,2018,\N
BC,133504,28575,89672,villa,1,28565,115743,2018-10-23,24855,28569
Perdus,139726,93623,89694,habitation,1,93623,115742,2019-12-03,17560,\N
BC,140730,130410,89694,villa,5,130410,130418,2020-05-26,\N,\N
BC,141395,28567,89691,villa,1,158624,134666,2020-05-29,9150,28569
BC,-9,28576,89685,villa,1,28576,115744,2020-11-12,66751,108904
Perdus,90815,108905,89672,hotel,1,-9,115743,2020-01-03,262443,28569
BC,153732,130410,89694,villa,5,130410,130418,2020-08-17,2566,\N
Perdus,91090,122055,89691,habitation,1,122055,115742,2020-01-28,20406,\N
BC,140070,130410,89694,villa,5,130410,133119,2020-02-24,\N,\N
Perdus,-9,122027,89686,salle de fete,1,122027,115744,2020-07-02,74376,142832
Perdus,91142,28614,89694,mixte,1,130412,133120,2019-09-26,\N,\N
Perdus,-9,28575,89677,centre de loisir,1,28575,115746,2020-03-09,5147,\N
Perdus,-9,28575,89677,centre de loisir,1,136898,115746,2020-03-09,5147,\N
BC,134344,28575,133968,villa,1,122560,130418,2019-01-18,59,\N
BC,91142,28614,89694,mixte,1,122055,115747,2019-09-26,2347,28614
BC,-9,130410,101185,villa,1,130409,130418,2020-05-13,\N,\N
BC,-9,130410,101185,villa,1,130410,130418,2020-05-13,\N,\N
Perdus,-9,28575,89694,siege administratif,1,122018,115744,2018-07-28,500000,\N
Perdus,91426,28576,89694,habitation,3,130412,133080,2019-05-29,199220,\N
Perdus,-9,130411,89694,villa,1,130411,136907,2020-09-08,\N,\N
Perdus,122636,122018,89691,mixte,1,122018,115744,2020-01-06,6165,\N
Perdus,122636,122018,89691,mixte,1,108904,115744,2020-01-06,6165,\N
BC,-9,130392,101185,villa,1,122560,133119,2020-04-23,\N,\N
Perdus,140667,122018,89694,distribution,1,108904,115744,2020-05-12,96495,\N
BC,-9,130392,101185,villa,1,130392,136907,2020-08-11,1495,\N
BC,-9,130411,89694,villa,1,-9,134668,2020-11-16,2142,130411
BC,122101,28571,89687,habitation,1,122055,115742,2019-12-19,37545,28614
Perdus,135387,28609,133968,usine,2,28609,115746,2020-02-03,9033,\N
BC,91259,28614,89694,habitation,1,130412,133081,2019-12-03,94000,\N
BC,126699,28571,89687,habitation,1,28614,115741,2020-01-28,41124,28614
BC,126699,28571,89687,habitation,1,28571,115741,2020-01-28,41124,28614
BC,180336,130410,89694,villa,5,130410,133119,2020-11-19,16150,\N
Perdus,126948,130412,89694,bureautique,1,130412,133080,2020-07-27,20000,\N
Perdus,136827,130590,89694,villa,1,130590,130419,2020-03-04,\N,\N
BC,89838,28579,101185,usine,1,28575,134666,2020-05-05,14171,\N
BC,161546,130410,89687,villa,5,130410,130418,2020-09-19,6111,\N
Perdus,133727,28614,89687,habitation,1,28571,115742,2019-07-01,47015,\N
Perdus,133306,28614,89684,habitation,1,122055,115742,2019-04-25,23527,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-08-12,\N,\N
Perdus,143070,28570,89691,distribution,1,122027,115744,2020-06-17,280875,108904
BC,-9,158624,89691,villa,1,158624,134667,2020-09-07,27579,28569
Perdus,-9,28565,89687,habitation,1,28571,134667,2020-02-14,57147,162366
Perdus,-9,28576,89688,villa,1,28576,115744,2020-06-22,58392,142832
Perdus,142144,28576,89685,hotel,2,122018,115744,2019-11-19,79125,\N
Perdus,142144,28576,89685,hotel,2,108904,115744,2019-11-19,79125,\N
Perdus,91344,122055,89672,habitation,1,122055,115741,2020-02-27,51450,\N
Perdus,-9,28576,89688,villa,1,28576,134666,2018-02-10,14816,162366
BC,137255,130410,89687,villa,5,130410,133119,2020-03-03,\N,\N
BC,122904,122018,89672,habitation,4,28614,115741,2019-12-03,47433,28614
BC,-9,130392,101185,villa,1,122560,130418,2020-03-14,\N,\N
Perdus,-9,28577,89674,usine,1,133385,115745,2020-01-06,3078,\N
Perdus,-9,28575,89674,villa,1,108904,115744,2019-07-20,\N,\N
Perdus,-9,28575,89674,villa,1,122018,115744,2019-07-20,\N,\N
BC,143695,130410,89674,villa,5,130410,133119,2020-06-20,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-09-05,\N,\N
Perdus,137665,130590,89694,villa,1,130590,130419,2020-03-12,\N,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-11-04,4232,\N
BC,137920,130410,89688,villa,4,130410,130418,2020-03-14,\N,\N
Perdus,137439,130410,89672,villa,1,130410,133119,2020-03-09,\N,\N
BC,137587,28575,89674,villa,1,28575,134667,2020-03-09,3966,\N
BC,137587,28575,89674,villa,1,136898,134667,2020-03-09,3966,\N
BC,-9,130411,89694,villa,1,130411,130418,2020-10-03,3589,\N
Perdus,137412,28565,89687,villa,1,28575,115743,2020-02-10,4534,\N
Perdus,137412,28565,89687,villa,1,142567,115743,2020-02-10,4534,\N
Perdus,-9,28609,89689,usine,1,-9,115746,2020-12-01,20208,28609
Perdus,139415,130410,89694,villa,1,130410,130418,2020-02-28,\N,\N
BC,-9,108905,89672,restaurant,2,108905,115745,2020-10-24,7508,108905
Perdus,-9,122018,89674,villa,1,142567,134667,2020-03-11,19244,28569
Perdus,91177,93108,89694,habitation,1,93623,115742,2019-09-23,21461,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-08-17,\N,\N
Perdus,-9,122018,89694,siege administratif,1,122018,115744,2020-09-16,16960,108904
BC,-9,130392,101185,villa,1,130392,130418,2021-01-27,10210,\N
BC,150401,122018,89694,villa,1,122018,115744,2020-08-19,7822,108904
BC,90361,28571,89687,villa,1,28571,134667,2020-09-10,23217,28569
BC,90361,28571,89687,villa,1,28565,134667,2020-09-10,23217,28569
BC,133504,28575,89672,villa,1,28565,134666,2018-10-23,9867,28569
BC,90373,28571,89687,habitation,5,28571,115743,2020-09-04,11953,162366
Perdus,-9,28609,89694,lycee,1,-9,115745,2019-06-13,7000,\N
Perdus,90691,28609,89685,hopital,2,28577,115746,2019-06-17,29726,\N
BC,-9,130392,101185,villa,1,-9,133119,2020-09-09,\N,\N
Perdus,-9,130590,101185,villa,1,130590,130419,2020-08-05,6711,\N
BC,159802,130590,89694,villa,1,130590,130419,2020-09-12,\N,\N
Perdus,137674,130590,89694,villa,1,130590,130419,2020-03-12,\N,\N
BC,174786,130410,89683,restaurant,5,130410,130418,2020-11-04,368,\N
Perdus,-9,108905,89688,siege administratif,1,122018,115744,2020-01-20,48571,108904
BC,-9,130411,89687,villa,1,130411,136907,2020-08-18,3200,\N
BC,-9,108904,101185,villa,1,108905,115745,2019-07-16,6772,\N
Perdus,153073,130590,89694,villa,1,130590,130419,2020-08-28,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2021-02-16,373,\N
BC,138014,130410,89672,villa,5,130410,130418,2020-03-07,\N,\N
Perdus,134805,134566,89672,station de services,1,134566,134567,2020-02-03,116407,\N
Perdus,-9,108905,89694,villa,1,122018,115744,2020-01-10,136745,\N
Perdus,-9,108905,89694,villa,1,28619,115744,2020-01-10,136745,\N
BC,-9,130590,101185,villa,1,130590,130419,2020-07-21,2492,\N
BC,150365,130590,89694,villa,1,130590,130419,2020-08-18,\N,\N
BC,182879,130410,89694,villa,5,-9,133119,2020-12-10,188,\N
BC,91426,28576,89688,hotel,3,108905,115745,2018-07-26,30838,108905
BC,91426,28576,89688,hotel,3,28576,115745,2018-07-26,30838,108905
Perdus,122963,93623,89672,habitation,1,93623,115742,2019-12-09,9474,\N
Perdus,-9,130407,101185,villa,1,130407,130419,2020-08-26,6356,\N
BC,90988,28614,89684,habitation,1,122055,115741,2020-05-13,148000,28614
BC,90277,28570,89691,centre de loisir,1,158624,134667,2020-06-04,852,28569
BC,135728,28609,89679,Prison Hwereb,2,28577,115745,2020-04-23,13797,\N
Perdus,122406,28576,89694,villa,3,28575,134667,2020-01-03,33257,\N
Perdus,122406,28576,89694,villa,3,136898,134667,2020-01-03,33257,\N
BC,181121,130410,89694,villa,5,130410,130418,2020-12-08,481,\N
Perdus,133173,122018,89684,banque,1,122018,115744,2020-06-08,\N,\N
Perdus,133173,122018,89684,banque,1,108904,115744,2020-06-08,\N,\N
BC,136942,28575,89687,villa,1,28575,134668,2015-02-19,37631,\N
BC,136942,28575,89687,villa,1,136898,134668,2015-02-19,37631,\N
Perdus,-9,28577,139140,distribution,1,108904,115744,2020-05-22,12630,\N
BC,90361,28571,89687,villa,1,28571,115743,2020-09-10,13984,28569
BC,90361,28571,89687,villa,1,28565,115743,2020-09-10,13984,28569
Perdus,-9,28565,89694,villa,1,28565,115743,2020-08-25,2312,28569
Perdus,-9,147744,89694,villa,1,147744,130418,2020-09-07,1800,\N
Perdus,-9,108905,89687,villa,1,133385,115745,2020-02-19,\N,\N
Perdus,149143,93623,89691,villa,1,28575,115743,2020-08-11,35677,\N
Perdus,-9,28609,89674,station de services,3,28577,115746,2020-02-29,12664,\N
BC,-9,130411,89694,villa,1,130411,130418,2020-10-06,2700,\N
Perdus,91421,130412,89691,habitation,5,122027,115744,2020-02-10,397379,108904
BC,161692,130410,89694,villa,5,130410,130418,2020-09-21,\N,\N
Perdus,93575,28576,89688,villa,1,28575,134666,2020-03-03,9042,\N
Perdus,93575,28576,89688,villa,1,136898,134666,2020-03-03,9042,\N
Perdus,-9,130407,101185,cuisine,1,130407,130419,2020-08-04,\N,\N
BC,178193,130410,89694,villa,5,-9,130419,2020-11-21,1355,\N
Perdus,-9,122018,89694,villa,1,122018,115744,2020-06-11,49370,142832
Perdus,99218,28614,89674,habitation,1,93623,115742,2018-05-17,76852,\N
Perdus,136680,130590,89694,villa,1,130590,130419,2020-03-03,\N,\N
Perdus,-9,122018,89688,villa,1,122018,115744,2020-08-12,53115,108904
BC,126914,28614,89674,habitation,1,122055,115742,2020-07-17,30509,28614
BC,-9,130392,101185,villa,1,130392,133119,2021-01-28,3875,\N
BC,155519,130590,89694,villa,1,130590,130419,2020-09-05,5561,\N
BC,176313,130410,89694,villa,5,130410,130418,2020-11-12,1818,\N
Perdus,-9,140993,89688,distribution,4,108904,115744,2020-06-02,\N,\N
Perdus,-9,140993,89688,distribution,4,122018,115744,2020-06-02,\N,\N
BC,90326,28565,89687,villa,1,28565,134666,2020-08-05,5634,28569
BC,-9,130392,101185,villa,1,130392,136907,2020-03-18,\N,\N
Perdus,-9,130409,89672,villa,1,122027,115744,2020-08-06,17635,108904
Perdus,136489,28609,89694,usine,2,28577,115745,2019-09-04,114425,\N
Perdus,90836,28609,89683,universite publique,2,28577,115746,2020-03-03,\N,\N
BC,-9,130392,101185,villa,1,-9,130418,2021-01-29,6754,\N
BC,179971,130410,89694,villa,5,130410,130418,2020-12-01,3689,\N
Perdus,122899,28576,89688,habitation,3,28576,115742,2020-01-03,24034,\N
Perdus,-9,28575,89694,VILLA,1,28575,115743,2019-11-20,67108,162366
Perdus,154059,130412,89694,habitation,1,130412,136906,2020-09-01,19000,\N
Perdus,-9,130392,101185,villa,1,130392,133119,2021-01-09,1174,\N
Perdus,145041,142543,89683,habitation,1,28570,115742,2020-07-04,20829,\N
BC,-9,28576,89688,habitation,4,93480,115744,2020-07-24,124791,142832
BC,163341,130590,89694,villa,1,-9,130419,2020-09-25,603,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-10-08,9165,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-09-04,\N,\N
BC,143878,28614,89674,habitation,1,122055,115742,2016-09-08,93923,\N
Perdus,157510,130590,89694,villa,1,-9,130419,2020-09-10,\N,130590
Perdus,137439,130410,89672,villa,3,130410,133119,2020-03-09,\N,\N
BC,182872,130410,89694,villa,5,130410,136907,2020-12-16,518,\N
Perdus,-9,130392,101185,villa,1,130392,136907,2020-03-14,\N,\N
Perdus,157485,130590,89694,villa,1,-9,130419,2020-09-10,\N,130590
Perdus,89748,122018,89688,hopital,1,108904,115744,2020-01-23,66355,\N
BC,-9,130409,101185,villa,1,130409,133119,2021-01-25,3732,\N
Perdus,122328,28614,89694,bureautique,1,108905,115746,2019-06-21,147182,\N
Perdus,122328,28614,89694,bureautique,1,28579,115746,2019-06-21,147182,\N
BC,-9,130392,101185,villa,1,130392,136907,2020-09-17,\N,\N
Perdus,164484,130590,89694,villa,1,130590,130419,2020-09-29,1204,\N
BC,190425,130410,89672,villa,5,-9,130418,2021-01-26,2025,\N
Perdus,157471,130590,89672,villa,1,130590,130419,2020-09-10,\N,130590
BC,-9,28609,89687,infrastructure,2,28577,115746,2020-06-18,70804,28609
Perdus,90231,28567,89694,villa,1,122027,115744,2020-06-01,35916,\N
Perdus,90231,28567,89694,villa,1,108904,115744,2020-06-01,35916,\N
BC,189859,142540,89672,habitation,1,142540,115742,2021-01-27,15160,93108
Perdus,-9,130392,101185,villa,1,122560,133119,2020-03-17,\N,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-09-05,\N,\N
BC,142781,130410,138084,villa,5,130410,130418,2020-05-30,\N,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-06-04,\N,\N
BC,-9,108905,89689,lycee,1,108905,115745,2020-08-06,4340,\N
BC,-9,108905,89689,lycee,1,133385,115745,2020-08-06,4340,\N
BC,-9,130411,101185,villa,1,130411,136907,2020-09-29,2400,130411
BC,147279,130410,89687,villa,5,130410,133119,2020-08-03,\N,\N
BC,144874,108905,89694,hotel,1,108905,115745,2020-02-24,3135,\N
BC,144874,108905,89694,hotel,1,133385,115745,2020-02-24,3135,\N
BC,-9,130411,101185,villa,1,130411,130418,2021-01-05,4125,130411
Perdus,149974,147744,89694,villa,1,147744,130418,2020-08-14,3800,\N
BC,150114,130590,89672,villa,1,130590,130419,2020-08-17,3027,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-08-03,\N,\N
Perdus,91331,122055,89674,habitation,1,122055,115742,2020-02-03,22881,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-03-17,\N,\N
BC,-9,130411,89687,villa,1,130411,133119,2020-10-30,5054,130411
Perdus,122924,122055,89672,habitation,1,122055,115747,2019-09-28,18895,\N
Perdus,-9,130392,101185,villa,1,122560,133119,2020-03-14,\N,\N
Perdus,90621,28609,89681,infrastructure,1,28609,115746,2019-02-04,51036,28609
BC,150783,130590,89672,villa,1,130590,130419,2020-08-10,\N,\N
Perdus,-9,130410,101185,habitation,3,130410,130418,2020-02-26,\N,\N
BC,90340,28571,89687,villa,1,28575,134666,2020-06-03,10748,\N
BC,90340,28571,89687,villa,1,136898,134666,2020-06-03,10748,\N
BC,90340,28571,89687,villa,1,142567,134666,2020-06-03,10748,\N
BC,163375,130590,89694,villa,1,-9,130419,2020-09-25,1249,\N
Perdus,-9,130411,89682,villa,1,130411,130418,2020-09-12,\N,130411
BC,-9,130392,101185,villa,1,130392,130418,2020-09-29,12020,\N
BC,136820,130409,89674,villa,1,130409,130418,2020-03-04,\N,\N
BC,-9,108905,89687,siege administratif,1,133385,115745,2020-02-19,16231,\N
BC,-9,108905,89687,siege administratif,1,108905,115745,2020-02-19,16231,\N
BC,93575,28576,89688,station de services,1,108905,115745,2020-03-02,150,\N
BC,167943,130590,89694,villa,1,-9,130419,2020-10-09,196,\N
Perdus,139198,130392,89694,villa,1,122560,133119,2020-04-23,\N,\N
Perdus,139198,130392,89694,villa,1,130392,133119,2020-04-23,\N,\N
Perdus,-9,130407,101185,villa,1,-9,130419,2020-09-10,\N,\N
Perdus,139316,130411,89694,villa,5,130411,130418,2020-02-20,\N,\N
Perdus,126699,28571,89687,habitation,2,122027,115744,2020-01-28,291364,108904
Perdus,-9,108905,89694,villa,1,133385,115745,2020-05-28,6314,\N
Perdus,-9,122018,140671,villa,1,122018,115744,2020-10-01,29411,108904
Perdus,149143,93623,89691,villa,1,28575,134666,2020-08-11,8671,\N
BC,133969,108905,89694,villa,1,133385,115745,2019-12-04,26000,\N
BC,-9,130590,101185,villa,1,130590,130419,2020-08-10,\N,\N
BC,165417,130590,89694,villa,1,-9,130419,2020-10-01,2121,\N
Perdus,136146,130590,89694,villa,1,130590,130419,2020-02-26,\N,\N
BC,166231,130410,89672,villa,5,130410,130418,2020-10-05,540,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-03-18,\N,\N
BC,122033,28575,89674,villa,1,28575,134667,2019-01-30,32206,\N
BC,122033,28575,89674,villa,1,136898,134667,2019-01-30,32206,\N
Perdus,146640,122018,89674,distribution,1,122018,115744,2020-05-12,164535,\N
Perdus,146640,122018,89674,distribution,1,108904,115744,2020-05-12,164535,\N
BC,176134,130410,89694,villa,5,130410,130418,2020-11-11,2786,\N
Perdus,94220,108904,89672,salon de the,1,122018,115744,2020-05-07,33971,\N
Perdus,94220,108904,89672,salon de the,1,108904,115744,2020-05-07,33971,\N
Perdus,-9,28575,89694,VILLA,1,28575,134666,2019-11-20,29219,\N
Perdus,-9,28575,89694,VILLA,1,136898,134666,2019-11-20,29219,\N
Perdus,-9,28576,89688,hotel,1,28576,115743,2021-01-08,0,162366
BC,-9,122027,89694,villa,1,28565,134667,2020-09-26,20078,28569
Perdus,-9,122018,89673,tribunal,1,108904,115744,2019-12-25,\N,\N
