etat,nameclient,porteur,zoneclient,nature,leadrating,coord,titgrp,datedet,budget,botech
BC,122101,28571,89687,habitation,1,122055,115741,2019-12-19,53754,28614
BC,-9,130392,101185,villa,1,130392,130418,2020-12-30,3145,\N
BC,170794,130590,89672,villa,1,130590,130419,2020-10-17,679,\N
Perdus,150102,28579,89674,mixte,1,130412,136906,2020-08-17,10000,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-03-14,\N,\N
Perdus,-9,130407,101185,VILLA,1,130407,130419,2020-08-11,\N,\N
BC,127815,134566,89683,habitation,1,134566,134567,2020-03-02,5190,\N
Perdus,139392,130410,89694,villa,1,130410,133119,2020-01-16,3152,\N
BC,-9,108905,89684,station de services,1,108905,115745,2020-06-13,9943,\N
BC,-9,108905,89684,station de services,1,133385,115745,2020-06-13,9943,\N
BC,-9,130411,101185,villa,1,130411,136907,2021-01-18,4931,130411
BC,133075,122560,89694,villa,1,146447,130419,2020-01-24,\N,\N
Perdus,91130,122055,89672,habitation,1,122055,115741,2020-02-24,87427,\N
BC,166151,130410,89691,villa,5,130410,130418,2020-09-30,8638,\N
Perdus,-9,93623,89674,habitation,1,177167,136906,2020-10-28,5532,149167
BC,133169,28575,89694,villa,3,108904,115744,2019-11-15,82733,108904
BC,-9,130409,101185,villa,1,130409,130418,2020-10-02,4200,\N
Perdus,154048,130590,89694,villa,1,130590,130419,2020-09-02,\N,\N
Perdus,122166,28609,89682,foyer universitaire,1,28577,115746,2018-07-16,65410,\N
BC,90361,28571,89687,villa,1,158625,115743,2020-02-24,12556,28569
Perdus,-9,108904,89674,villa,1,122018,115744,2020-05-21,13243,\N
Perdus,-9,108904,89674,villa,1,108904,115744,2020-05-21,13243,\N
BC,-9,130409,101185,villa,1,130409,130418,2020-03-17,\N,\N
BC,-9,130392,89694,villa,1,130392,130418,2020-02-22,\N,\N
BC,149967,130590,89694,villa,1,130590,130419,2020-08-14,\N,\N
BC,-9,130411,101185,villa,1,130411,136907,2020-09-01,\N,\N
Perdus,-9,28565,89687,habitation,1,28571,134666,2020-02-14,9463,162366
BC,91424,28571,89687,habitation,1,28571,115741,2020-02-18,33943,28614
BC,91424,28571,89687,habitation,1,28614,115741,2020-02-18,33943,28614
Perdus,-9,122055,89694,habitation,1,130412,133080,2020-05-29,143000,\N
Perdus,90231,28565,89694,villa,1,28575,134667,2020-01-23,26978,\N
Perdus,90231,28565,89694,villa,1,136898,134667,2020-01-23,26978,\N
BC,178614,93623,89694,villa,1,93623,134666,2020-06-17,7231,28575
BC,159355,130410,89694,villa,5,130410,130418,2020-09-12,5428,\N
BC,-9,130409,101185,villa,1,130409,133119,2020-05-13,\N,\N
BC,-9,130411,89694,villa,1,130411,136907,2020-09-30,10000,\N
Perdus,-9,28575,89672,villa,1,28575,134666,2020-05-19,2591,\N
Perdus,-9,28575,89672,villa,1,136898,134666,2020-05-19,2591,\N
BC,-9,130409,101185,villa,1,130409,130418,2021-01-22,2660,\N
BC,90825,28575,89694,villa,1,28575,115743,2018-03-06,12299,\N
BC,90825,28575,89694,villa,1,136898,115743,2018-03-06,12299,\N
Perdus,136128,130407,89694,villa,1,122560,130419,2020-02-24,\N,\N
Perdus,136128,130407,89694,villa,1,130407,130419,2020-02-24,\N,\N
BC,-9,130392,101185,villa,1,130392,136907,2020-10-03,6338,\N
Perdus,127781,28614,89674,habitation,1,93623,115741,2020-01-06,34846,\N
Perdus,137668,130590,89694,villa,1,130590,130419,2020-03-12,\N,\N
BC,-9,130409,101185,ministaire,1,130409,130418,2020-09-18,\N,\N
Perdus,-9,28576,89685,villa,2,122018,115744,2019-12-03,25000,\N
Perdus,-9,28576,89685,villa,2,108904,115744,2019-12-03,25000,\N
BC,189859,142540,89672,habitation,1,142540,115741,2021-01-27,13950,93108
Perdus,-9,122027,89694,villa,1,122027,115744,2020-11-02,69536,153451
Perdus,100373,122018,89694,salon de the,1,122027,115744,2020-06-22,590550,142832
Perdus,-9,28576,89685,hotel,1,-9,115745,2020-10-21,367746,\N
Perdus,137412,28575,89687,villa,1,28575,115743,2020-06-04,8914,\N
BC,136899,108904,89694,villa,1,108905,115745,2019-07-26,6319,\N
BC,136899,108904,89694,villa,1,133385,115745,2019-07-26,6319,\N
BC,-9,130392,101185,villa,1,130392,130418,2020-03-19,\N,\N
BC,153515,130411,89672,villa,1,130411,136907,2020-08-29,\N,\N
BC,-9,130392,101185,villa,1,130392,133119,2020-03-18,\N,\N
Perdus,90815,28575,89672,hotel,1,122018,115744,2018-10-01,\N,\N
Perdus,126886,28614,89672,habitation,1,122018,115744,2019-05-10,665484,\N
Perdus,-9,136184,89684,villa,1,136184,115744,2020-02-12,55350,108904
BC,-9,130411,89694,villa,1,130411,130418,2020-08-27,3904,\N
Perdus,-9,28609,89681,infrastructure,1,28577,115746,2020-07-04,0,\N
Perdus,-9,28609,89681,infrastructure,1,28609,115746,2020-07-04,0,\N
BC,178834,130410,89691,villa,1,130410,136907,2020-11-24,569,\N
BC,142699,130410,89694,villa,5,130410,130418,2020-06-12,\N,\N
BC,-9,130409,89694,villa,3,130409,133119,2020-01-27,7000,\N
BC,-9,108905,89694,villa,1,108905,115745,2020-03-02,4481,\N
BC,-9,108905,89694,villa,1,133385,115745,2020-03-02,4481,\N
BC,90326,28575,89687,villa,1,28575,134667,2020-03-18,2196,\N
BC,90326,28575,89687,villa,1,136898,134667,2020-03-18,2196,\N
BC,183502,130410,89672,villa,5,130410,115742,2020-12-16,2424,\N
Perdus,-9,28577,89694,bureautique,1,28609,115746,2020-05-25,\N,\N
Perdus,157001,130590,89674,villa,1,130590,130419,2020-09-09,1076,\N
Perdus,-9,28575,89672,villa,1,28575,115743,2020-05-19,67219,\N
Perdus,-9,28575,89672,villa,1,136898,115743,2020-05-19,67219,\N
BC,141395,28567,89691,villa,1,158624,134667,2020-05-29,3659,28569
Perdus,-9,28576,89676,usine,1,28609,115746,2020-06-08,11987,\N
BC,153355,130410,89672,villa,5,130410,130418,2020-08-29,2623,\N
BC,152053,130411,89687,villa,1,130411,136907,2020-08-26,\N,\N
Perdus,139420,130410,89694,villa,5,130410,130418,2020-02-21,\N,\N
Perdus,166643,147744,89694,laboratoire,1,147744,130419,2020-10-05,2000,\N
Perdus,138085,108904,89685,villa,1,108904,115744,2020-02-01,122920,\N
BC,-9,130590,101185,villa,1,-9,130419,2020-10-28,3066,130590
BC,-9,130409,101185,villa,1,130409,133119,2021-01-28,13948,\N
Perdus,157350,130410,89687,villa,5,130410,130418,2020-09-09,4917,\N
Perdus,-9,108904,89672,villa,1,122027,115744,2020-06-03,15835,108904
BC,136416,28576,89688,usine,1,28575,115743,2020-06-02,1929,\N
BC,136416,28576,89688,usine,1,136898,115743,2020-06-02,1929,\N
Perdus,91044,93623,89694,habitation,1,28579,115744,2020-10-03,168406,142832
Perdus,91044,93623,89694,habitation,1,93480,115744,2020-10-03,168406,142832
Perdus,91044,93623,89694,habitation,1,93623,115744,2020-10-03,168406,142832
BC,151594,130410,89694,villa,5,130410,130418,2020-08-19,\N,\N
Perdus,-9,28571,89687,villa,1,28575,134667,2020-01-25,12108,\N
Perdus,-9,28571,89687,villa,1,136898,134667,2020-01-25,12108,\N
Perdus,141762,136184,89672,villa,1,142567,134666,2020-06-08,6217,28569
BC,149316,130590,89694,villa,1,130590,130419,2020-07-11,\N,\N
BC,103691,108905,89672,habitation,1,108905,115745,2020-09-05,6070,\N
BC,140787,130410,89694,villa,5,130410,130418,2020-05-26,\N,\N
Perdus,90262,93623,89675,villa,1,108904,115744,2020-09-01,40940,\N
Perdus,90262,93623,89675,villa,1,122027,115744,2020-09-01,40940,\N
Perdus,138076,28609,89693,usine,1,28577,115746,2019-01-31,\N,\N
Perdus,139375,130410,89691,villa,5,130410,130418,2020-02-17,\N,\N
Perdus,138304,108905,140671,habitation,1,28570,115742,2020-01-02,110474,\N
Perdus,127805,130412,89694,habitation,1,130412,133080,2019-11-01,39000,\N
BC,127818,28614,89694,habitation,1,130412,136906,2019-02-09,41606,149167
BC,127818,28614,89694,habitation,1,177167,136906,2019-02-09,41606,149167
Perdus,-9,28571,139140,bureautique,1,176256,134567,2020-07-30,72000,134566
Perdus,92762,122018,89694,villa,1,-9,134667,2020-08-19,24278,162366
Perdus,-9,130409,89672,villa,1,130409,130418,2020-08-10,1388,\N
Perdus,134323,28576,89688,habitation,1,28576,115741,2020-01-31,29907,\N
BC,-9,130411,89694,villa,1,130411,136907,2020-11-06,927,130411
BC,-9,108905,89694,habitation,1,-9,115745,2019-12-25,1555,\N
Perdus,-9,28579,89687,habitation,1,130412,133081,2020-03-06,81000,130416
Perdus,-9,122018,140671,usine,1,108904,115744,2019-05-27,41835,\N
Perdus,133382,93623,89674,villa,1,28575,134667,2020-01-02,18610,\N
Perdus,133382,93623,89674,villa,1,136898,134667,2020-01-02,18610,\N
Perdus,133382,93623,89674,villa,1,28565,134667,2020-01-02,18610,\N
Perdus,91434,28614,89694,habitation,1,122055,115742,2019-11-05,9635,\N
Perdus,-9,140993,89688,distribution,1,122018,115744,2020-05-30,\N,\N
BC,161077,130410,89694,villa,5,130410,130418,2020-09-15,\N,\N
Perdus,-9,28614,101185,usine,1,-9,115745,2019-12-31,152,\N
BC,139966,130409,89694,villa,1,130409,130418,2020-05-12,\N,\N
BC,141395,28567,89691,villa,1,158624,115743,2020-05-29,23953,28569
BC,181160,130590,89694,villa,1,130590,130419,2020-12-03,1581,\N
BC,-9,130392,101185,villa,1,130392,130418,2021-02-15,412,\N
Perdus,139304,130411,89694,villa,5,130411,133119,2020-03-14,\N,\N
BC,90993,28579,89672,habitation,1,28614,115741,2017-08-17,133650,28614
BC,90993,28579,89672,habitation,1,28579,115741,2017-08-17,133650,28614
Perdus,140026,130410,89694,villa,4,130410,130418,2020-05-14,\N,\N
BC,-9,130409,101185,villa,1,130409,130418,2021-01-05,5490,\N
Perdus,-9,93623,89674,habitation,1,177167,133081,2020-10-28,11413,149167
